date,ticker,open,high,low,close,adj_close,volume,downloaded_at,source,1d_no_calendar_simple_return,7d_no_calendar_rolling_return,30d_no_calendar_rolling_return,1d_no_calendar_log_return,cumulative_returns_no_calendar,1d_no_calendar_lagged_returns,5d_no_calendar_lagged_returns,1d_business_calendar_simple_return,7d_business_calendar_rolling_return,30d_business_calendar_rolling_return,1d_business_calendar_log_return,cumulative_returns_business_calendar,1d_business_calendar_lagged_returns,5d_business_calendar_lagged_returns,market_calendar,1d_exchange_calendar_simple_return,7d_exchange_calendar_rolling_return,30d_exchange_calendar_rolling_return,1d_exchange_calendar_log_return,cumulative_returns_exchange_calendar,1d_exchange_calendar_lagged_returns,5d_exchange_calendar_lagged_returns,no_calendar_20d_adj_close_ma,business_calendar_20d_adj_close_ma,exchange_calendar_20d_adj_close_ma,no_calendar_50d_adj_close_ma,business_calendar_50d_adj_close_ma,exchange_calendar_50d_adj_close_ma
2018-01-02,GLD,124.66000366210938,125.18000030517578,124.38999938964844,125.1500015258789,125.1500015258789,11762500,2026-05-17 16:56:22.827950,yfinance,,,,,,,,,,,,,,,NYSE,,,,,,,,,,,,,
2018-01-03,GLD,125.0500030517578,125.08999633789062,124.0999984741211,124.81999969482422,124.81999969482422,7904300,2026-05-17 16:56:22.827950,yfinance,-0.002636850395774437,,,-0.0026403330092135157,-0.002636850395774437,,,-0.002636850395774437,,,-0.0026403330092135157,-0.002636850395774437,,,NYSE,-0.002636850395774437,,,-0.0026403330092135157,-0.002636850395774437,,,,,,,,
2018-01-04,GLD,124.88999938964844,125.8499984741211,124.73999786376952,125.45999908447266,125.45999908447266,7329700,2026-05-17 16:56:22.827950,yfinance,0.00512737855482448,,,0.005114278310262769,0.0024770080288785135,-0.002636850395774437,,0.00512737855482448,,,0.005114278310262769,0.0024770080288785135,-0.002636850395774437,,NYSE,0.00512737855482448,,,0.005114278310262769,0.0024770080288785135,-0.002636850395774437,,,,,,,
2018-01-05,GLD,124.93000030517578,125.4800033569336,124.83000183105467,125.33000183105467,125.33000183105467,5739900,2026-05-17 16:56:22.827950,yfinance,-0.0010361649479245783,,,-0.0010367021379345971,0.0014382764920586322,0.00512737855482448,,-0.0010361649479245783,,,-0.0010367021379345971,0.0014382764920586322,0.00512737855482448,,NYSE,-0.0010361649479245783,,,-0.0010367021379345971,0.0014382764920586322,0.00512737855482448,,,,,,,
2018-01-08,GLD,125.1999969482422,125.31999969482422,124.9000015258789,125.30999755859376,125.30999755859376,3566700,2026-05-17 16:56:22.827950,yfinance,-0.00015961279955833962,,,-0.0001596255390368383,0.0012784341251628195,-0.0010361649479245783,,-0.00015961279955833962,,,-0.0001596255390368383,0.0012784341251628195,-0.0010361649479245783,,NYSE,-0.00015961279955833962,,,-0.0001596255390368383,0.0012784341251628195,-0.0010361649479245783,,,,,,,
2018-01-09,GLD,124.48999786376952,124.86000061035156,124.2300033569336,124.7300033569336,124.7300033569336,9153600,2026-05-17 16:56:22.827950,yfinance,-0.0046284750854692636,,,-0.004639219643041699,-0.003355958160803141,-0.00015961279955833962,,-0.0046284750854692636,,,-0.004639219643041699,-0.003355958160803141,-0.00015961279955833962,,NYSE,-0.0046284750854692636,,,-0.004639219643041699,-0.003355958160803141,-0.00015961279955833962,,,,,,,
2018-01-10,GLD,125.16999816894533,125.30999755859376,124.72000122070312,125.02999877929688,125.02999877929688,14809300,2026-05-17 16:56:22.827950,yfinance,0.002405158456580736,,,0.002402270692406848,-0.0009588713153727557,-0.0046284750854692636,-0.002636850395774437,0.002405158456580736,,,0.002402270692406848,-0.0009588713153727557,-0.0046284750854692636,-0.002636850395774437,NYSE,0.002405158456580736,,,0.002402270692406848,-0.0009588713153727557,-0.0046284750854692636,-0.002636850395774437,,,,,,
2018-01-11,GLD,125.37000274658205,125.66000366210938,125.25,125.44000244140624,125.44000244140624,5994700,2026-05-17 16:56:22.827950,yfinance,0.003279242310744168,0.0023172266239834816,,0.003273877321212141,0.0023172266239834816,0.002405158456580736,0.00512737855482448,0.003279242310744168,0.0023172266239834816,,0.003273877321212141,0.0023172266239834816,0.002405158456580736,0.00512737855482448,NYSE,0.003279242310744168,0.0023172266239834816,,0.003273877321212141,0.0023172266239834816,0.002405158456580736,0.00512737855482448,,,,,,
2018-01-12,GLD,126.01000213623048,127.12999725341795,125.80999755859376,126.95999908447266,126.95999908447266,9258600,2026-05-17 16:56:22.827950,yfinance,0.012117319941670202,0.01714468350328935,,0.012044492942167013,0.014462625142033891,0.003279242310744168,-0.0010361649479245783,0.012117319941670202,0.01714468350328935,,0.012044492942167013,0.014462625142033891,0.003279242310744168,-0.0010361649479245783,NYSE,0.012117319941670202,0.01714468350328935,,0.012044492942167013,0.014462625142033891,0.003279242310744168,-0.0010361649479245783,,,,,,
2018-01-16,GLD,126.5999984741211,127.18000030517578,126.4000015258789,127.16999816894533,127.16999816894533,8083900,2026-05-17 16:56:22.827950,yfinance,0.0016540570729914883,0.013629834982872291,,0.001652690627169873,0.016140604222435684,0.012117319941670202,-0.00015961279955833962,,0.014681212088155648,,,,,-0.0046284750854692636,NYSE,0.0016540570729914883,0.013629834982872291,,0.001652690627169873,0.016140604222435684,0.012117319941670202,-0.00015961279955833962,,,,,,
