ticker,date,open,high,low,close,adj_close,volume,daily_return_no_calendar,log_return_no_calendar,cumulative_returns_no_calendar,rolling_7d_return_no_calendar,rolling_30d_return_no_calendar,lag_1_return_no_calendar,lag_5_return_no_calendar,moving_avg_20_no_calendar,moving_avg_50_no_calendar,price_vs_ma20_no_calendar,relative_volume_no_calendar,rolling_30d_volatility_no_calendar,drawdown_no_calendar,target_next_day_return_no_calendar,target_direction_no_calendar,daily_return_business_calendar,log_return_business_calendar,cumulative_returns_business_calendar,rolling_7d_return_business_calendar,rolling_30d_return_business_calendar,lag_1_return_business_calendar,lag_5_return_business_calendar,moving_avg_20_business_calendar,moving_avg_50_business_calendar,price_vs_ma20_business_calendar,relative_volume_business_calendar,rolling_30d_volatility_business_calendar,drawdown_business_calendar,target_next_day_return_business_calendar,target_direction_business_calendar,daily_return_exchange_calendar,log_return_exchange_calendar,cumulative_returns_exchange_calendar,rolling_7d_return_exchange_calendar,rolling_30d_return_exchange_calendar,lag_1_return_exchange_calendar,lag_5_return_exchange_calendar,moving_avg_20_exchange_calendar,moving_avg_50_exchange_calendar,price_vs_ma20_exchange_calendar,relative_volume_exchange_calendar,rolling_30d_volatility_exchange_calendar,drawdown_exchange_calendar,target_next_day_return_exchange_calendar,target_direction_exchange_calendar
GLD,2018-01-02,124.66000366210938,125.18000030517578,124.38999938964844,125.1500015258789,125.1500015258789,11762500,,,,,,,,,,,,,0.0,-0.002636850395774437,0.0,,,,,,,,,,,,,0.0,-0.002636850395774437,0.0,,,,,,,,,,,,,0.0,-0.002636850395774437,0.0
GLD,2018-01-03,125.0500030517578,125.08999633789062,124.0999984741211,124.81999969482422,124.81999969482422,7904300,-0.002636850395774437,-0.0026403330092135157,-0.002636850395774437,,,,,,,,,,-0.002636850395774437,0.00512737855482448,1.0,-0.002636850395774437,-0.0026403330092135157,-0.002636850395774437,,,,,,,,,,-0.002636850395774437,0.00512737855482448,1.0,-0.002636850395774437,-0.0026403330092135157,-0.002636850395774437,,,,,,,,,,-0.002636850395774437,0.00512737855482448,1.0
GLD,2018-01-04,124.88999938964844,125.8499984741211,124.73999786376952,125.45999908447266,125.45999908447266,7329700,0.00512737855482448,0.005114278310262769,0.0024770080288785135,,,-0.002636850395774437,,,,,,,0.0,-0.0010361649479245783,0.0,0.00512737855482448,0.005114278310262769,0.0024770080288785135,,,-0.002636850395774437,,,,,,,0.0,-0.0010361649479245783,0.0,0.00512737855482448,0.005114278310262769,0.0024770080288785135,,,-0.002636850395774437,,,,,,,0.0,-0.0010361649479245783,0.0
GLD,2018-01-05,124.93000030517578,125.4800033569336,124.83000183105467,125.33000183105467,125.33000183105467,5739900,-0.0010361649479245783,-0.0010367021379345971,0.0014382764920586322,,,0.00512737855482448,,,,,,,-0.0010361649479245783,-0.00015961279955833962,0.0,-0.0010361649479245783,-0.0010367021379345971,0.0014382764920586322,,,0.00512737855482448,,,,,,,-0.0010361649479245783,-0.00015961279955833962,0.0,-0.0010361649479245783,-0.0010367021379345971,0.0014382764920586322,,,0.00512737855482448,,,,,,,-0.0010361649479245783,-0.00015961279955833962,0.0
GLD,2018-01-08,125.1999969482422,125.31999969482422,124.9000015258789,125.30999755859376,125.30999755859376,3566700,-0.00015961279955833962,-0.0001596255390368383,0.0012784341251628195,,,-0.0010361649479245783,,,,,,,-0.0011956123622948178,-0.0046284750854692636,0.0,-0.00015961279955833962,-0.0001596255390368383,0.0012784341251628195,,,-0.0010361649479245783,,,,,,,-0.0011956123622948178,-0.0046284750854692636,0.0,-0.00015961279955833962,-0.0001596255390368383,0.0012784341251628195,,,-0.0010361649479245783,,,,,,,-0.0011956123622948178,-0.0046284750854692636,0.0
GLD,2018-01-09,124.48999786376952,124.86000061035156,124.2300033569336,124.7300033569336,124.7300033569336,9153600,-0.0046284750854692636,-0.004639219643041699,-0.003355958160803141,,,-0.00015961279955833962,,,,,,,-0.005818553585733355,0.002405158456580736,1.0,-0.0046284750854692636,-0.004639219643041699,-0.003355958160803141,,,-0.00015961279955833962,,,,,,,-0.005818553585733355,0.002405158456580736,1.0,-0.0046284750854692636,-0.004639219643041699,-0.003355958160803141,,,-0.00015961279955833962,,,,,,,-0.005818553585733355,0.002405158456580736,1.0
GLD,2018-01-10,125.16999816894533,125.30999755859376,124.72000122070312,125.02999877929688,125.02999877929688,14809300,0.002405158456580736,0.002402270692406848,-0.0009588713153727557,,,-0.0046284750854692636,-0.002636850395774437,,,,,,-0.003427389672514325,0.003279242310744168,1.0,0.002405158456580736,0.002402270692406848,-0.0009588713153727557,,,-0.0046284750854692636,-0.002636850395774437,,,,,,-0.003427389672514325,0.003279242310744168,1.0,0.002405158456580736,0.002402270692406848,-0.0009588713153727557,,,-0.0046284750854692636,-0.002636850395774437,,,,,,-0.003427389672514325,0.003279242310744168,1.0
GLD,2018-01-11,125.37000274658205,125.66000366210938,125.25,125.44000244140624,125.44000244140624,5994700,0.003279242310744168,0.003273877321212141,0.0023172266239834816,0.0023172266239834816,,0.002405158456580736,0.00512737855482448,,,,,,-0.00015938660299974483,0.012117319941670202,1.0,0.003279242310744168,0.003273877321212141,0.0023172266239834816,0.0023172266239834816,,0.002405158456580736,0.00512737855482448,,,,,,-0.00015938660299974483,0.012117319941670202,1.0,0.003279242310744168,0.003273877321212141,0.0023172266239834816,0.0023172266239834816,,0.002405158456580736,0.00512737855482448,,,,,,-0.00015938660299974483,0.012117319941670202,1.0
GLD,2018-01-12,126.01000213623048,127.12999725341795,125.80999755859376,126.95999908447266,126.95999908447266,9258600,0.012117319941670202,0.012044492942167013,0.014462625142033891,0.01714468350328935,,0.003279242310744168,-0.0010361649479245783,,,,,,0.0,0.0016540570729914883,1.0,0.012117319941670202,0.012044492942167013,0.014462625142033891,0.01714468350328935,,0.003279242310744168,-0.0010361649479245783,,,,,,0.0,,,0.012117319941670202,0.012044492942167013,0.014462625142033891,0.01714468350328935,,0.003279242310744168,-0.0010361649479245783,,,,,,0.0,0.0016540570729914883,1.0
GLD,2018-01-16,126.5999984741211,127.18000030517578,126.4000015258789,127.16999816894533,127.16999816894533,8083900,0.0016540570729914883,0.001652690627169873,0.016140604222435684,0.013629834982872291,,0.012117319941670202,-0.00015961279955833962,,,,,,0.0,-0.008099385028916495,0.0,,,,0.014681212088155648,,,-0.0046284750854692636,,,,,,0.0,-0.008099385028916495,0.0,0.0016540570729914883,0.001652690627169873,0.016140604222435684,0.013629834982872291,,0.012117319941670202,-0.00015961279955833962,,,,,,0.0,-0.008099385028916495,0.0
